Fecha,Hora,Total Personas,Con Mascarilla,Sin Mascarilla,Mascarilla Incorrecta
2026-07-06,12:40:47,11,10,1,0
2026-07-06,12:42:15,1,1,0,0
2026-07-06,12:42:15,1,1,0,0
2026-07-06,12:42:15,1,1,0,0
2026-07-06,12:42:15,1,1,0,0
2026-07-06,12:42:16,1,1,0,0
2026-07-06,12:42:16,1,1,0,0
2026-07-06,12:42:16,1,1,0,0
2026-07-06,12:42:16,1,1,0,0
2026-07-06,12:42:16,1,1,0,0
2026-07-06,12:42:16,1,1,0,0
2026-07-06,12:42:16,1,1,0,0
2026-07-06,12:42:16,1,1,0,0
2026-07-06,12:42:17,1,1,0,0
2026-07-06,12:42:17,1,1,0,0
2026-07-06,12:42:17,1,1,0,0
2026-07-06,12:42:17,1,1,0,0
2026-07-06,12:42:17,1,1,0,0
2026-07-06,12:42:17,1,1,0,0
2026-07-06,12:42:17,1,1,0,0
2026-07-06,12:42:17,1,1,0,0
2026-07-06,12:42:17,2,1,1,0
2026-07-06,12:42:18,1,1,0,0
2026-07-06,12:42:18,1,1,0,0
2026-07-06,12:42:18,2,1,1,0
2026-07-06,12:42:18,2,1,1,0
2026-07-06,12:42:18,2,1,1,0
2026-07-06,12:42:18,2,1,1,0
2026-07-06,12:42:18,1,1,0,0
2026-07-06,12:42:19,1,0,1,0
2026-07-06,12:42:19,1,1,0,0
2026-07-06,12:42:19,1,1,0,0
2026-07-06,12:42:19,1,1,0,0
2026-07-06,12:42:19,1,1,0,0
2026-07-06,12:42:19,1,1,0,0
2026-07-06,12:42:20,1,0,1,0
2026-07-06,12:42:20,1,1,0,0
2026-07-06,12:42:20,1,1,0,0
2026-07-06,12:42:20,2,1,1,0
2026-07-06,12:42:21,1,1,0,0
2026-07-06,12:42:21,2,2,0,0
2026-07-06,12:42:21,2,2,0,0
2026-07-06,12:42:21,2,1,1,0
2026-07-06,12:42:21,1,1,0,0
2026-07-06,12:42:21,1,1,0,0
2026-07-06,12:42:22,1,1,0,0
2026-07-06,12:42:22,1,1,0,0
2026-07-06,12:42:22,1,1,0,0
2026-07-06,12:42:22,1,1,0,0
2026-07-06,12:42:22,1,1,0,0
2026-07-06,12:42:22,1,1,0,0
2026-07-06,12:42:22,1,1,0,0
2026-07-06,12:42:22,2,2,0,0
2026-07-06,12:42:23,1,1,0,0
2026-07-06,12:42:23,1,1,0,0
2026-07-06,12:42:23,1,1,0,0
2026-07-06,12:42:23,1,1,0,0
2026-07-06,12:42:23,1,1,0,0
2026-07-06,12:42:23,1,1,0,0
2026-07-06,12:42:23,1,1,0,0
2026-07-06,12:42:23,1,1,0,0
2026-07-06,12:42:24,1,1,0,0
2026-07-06,12:42:24,1,1,0,0
2026-07-06,12:42:24,1,1,0,0
2026-07-06,12:42:24,1,1,0,0
2026-07-06,12:42:24,2,1,1,0
2026-07-06,12:42:24,2,1,1,0
2026-07-06,12:42:24,1,1,0,0
2026-07-06,12:42:24,2,1,1,0
2026-07-06,12:42:25,1,1,0,0
2026-07-06,12:42:25,2,1,1,0
2026-07-06,12:42:25,1,1,0,0
2026-07-06,12:42:25,1,1,0,0
2026-07-06,12:42:25,1,1,0,0
2026-07-06,12:42:25,1,1,0,0
2026-07-06,12:42:25,1,1,0,0
2026-07-06,12:42:25,1,1,0,0
2026-07-06,12:42:26,2,1,1,0
2026-07-06,12:42:26,2,1,1,0
2026-07-06,12:42:26,2,1,1,0
2026-07-06,12:42:26,2,1,1,0
2026-07-06,12:42:26,2,1,1,0
2026-07-06,12:42:26,1,1,0,0
2026-07-06,12:42:26,2,1,1,0
2026-07-06,12:42:27,2,1,1,0
2026-07-06,12:42:27,2,1,1,0
2026-07-06,12:42:27,2,1,1,0
2026-07-06,12:42:27,2,1,1,0
2026-07-06,12:42:27,1,1,0,0
2026-07-06,12:42:27,2,1,1,0
2026-07-06,12:42:27,2,1,1,0
2026-07-06,12:42:28,2,1,1,0
2026-07-06,12:42:28,2,1,1,0
2026-07-06,12:42:28,2,1,1,0
2026-07-06,12:42:28,1,1,0,0
2026-07-06,12:42:28,1,1,0,0
2026-07-06,12:42:28,2,1,1,0
2026-07-06,12:42:28,2,1,1,0
2026-07-06,12:42:29,1,1,0,0
2026-07-06,12:42:29,1,1,0,0
2026-07-06,12:42:29,2,1,1,0
2026-07-06,12:42:29,1,1,0,0
2026-07-06,12:42:29,1,1,0,0
2026-07-06,12:42:29,1,1,0,0
2026-07-06,12:42:29,1,1,0,0
2026-07-06,12:42:29,1,1,0,0
2026-07-06,12:42:30,1,1,0,0
2026-07-06,12:42:30,2,1,1,0
2026-07-06,12:42:30,1,1,0,0
2026-07-06,12:42:30,1,1,0,0
2026-07-06,12:42:30,1,1,0,0
2026-07-06,12:42:30,1,1,0,0
2026-07-06,12:42:30,2,1,1,0
2026-07-06,12:42:30,2,1,1,0
2026-07-06,12:42:31,1,1,0,0
2026-07-06,12:42:31,2,1,1,0
2026-07-06,12:42:31,2,1,1,0
2026-07-06,12:42:31,2,1,1,0
2026-07-06,12:42:31,2,1,1,0
2026-07-06,12:42:31,2,1,1,0
2026-07-06,12:42:31,2,1,1,0
2026-07-06,12:42:31,2,1,1,0
2026-07-06,12:42:32,2,1,1,0
2026-07-06,12:42:32,1,1,0,0
2026-07-06,12:42:32,2,1,1,0
2026-07-06,12:42:32,1,1,0,0
2026-07-06,12:42:32,1,1,0,0
2026-07-06,12:42:32,1,1,0,0
2026-07-06,12:42:32,2,1,1,0
2026-07-06,12:42:32,2,1,1,0
2026-07-06,12:42:33,1,1,0,0
2026-07-06,12:42:33,1,1,0,0
2026-07-06,12:42:33,1,1,0,0
2026-07-06,12:42:33,1,1,0,0
2026-07-06,12:42:33,1,1,0,0
2026-07-06,12:42:33,1,1,0,0
2026-07-06,12:42:34,1,1,0,0
2026-07-06,12:42:34,1,1,0,0
2026-07-06,12:42:34,1,1,0,0
2026-07-06,12:42:34,1,1,0,0
2026-07-06,12:42:34,2,1,1,0
2026-07-06,12:42:34,2,1,1,0
2026-07-06,12:42:34,2,1,1,0
2026-07-06,12:42:35,1,1,0,0
2026-07-06,12:42:35,1,1,0,0
2026-07-06,12:42:35,1,1,0,0
2026-07-06,12:42:35,1,1,0,0
2026-07-06,12:42:35,1,1,0,0
2026-07-06,12:42:35,1,1,0,0
2026-07-06,12:42:36,2,1,1,0
2026-07-06,12:42:36,2,1,1,0
2026-07-06,12:42:36,2,1,1,0
2026-07-06,12:42:36,2,1,1,0
2026-07-06,12:42:36,2,1,1,0
2026-07-06,12:42:36,2,1,1,0
2026-07-06,12:42:37,2,1,1,0
2026-07-06,12:42:37,2,1,1,0
2026-07-06,12:42:37,2,1,1,0
2026-07-06,12:42:37,2,1,1,0
2026-07-06,12:42:37,2,1,1,0
2026-07-06,12:42:37,1,1,0,0
2026-07-06,12:42:37,2,1,1,0
2026-07-06,12:42:38,2,1,1,0
2026-07-06,12:42:38,1,1,0,0
2026-07-06,12:42:38,1,1,0,0
2026-07-06,12:42:38,2,0,2,0
2026-07-06,12:42:38,3,0,3,0
2026-07-06,12:42:38,4,1,3,0
2026-07-06,12:42:39,3,1,2,0
2026-07-06,12:42:39,3,1,2,0
2026-07-06,12:42:39,4,1,3,0
2026-07-06,12:42:39,2,1,1,0
2026-07-06,12:42:39,2,0,2,0
2026-07-06,12:42:39,2,0,2,0
2026-07-06,12:42:39,2,0,2,0
2026-07-06,12:42:39,2,0,2,0
2026-07-06,12:42:40,2,0,2,0
2026-07-06,12:42:40,1,0,1,0
2026-07-06,12:42:40,2,0,2,0
2026-07-06,12:42:40,3,1,2,0
2026-07-06,12:42:40,3,1,2,0
2026-07-06,12:42:40,2,1,1,0
2026-07-06,12:42:40,1,0,1,0
2026-07-06,12:42:40,1,0,1,0
2026-07-06,12:42:41,1,0,1,0
2026-07-06,12:42:41,1,0,1,0
2026-07-06,12:42:41,1,0,1,0
2026-07-06,12:42:41,1,0,1,0
2026-07-06,12:42:41,2,0,2,0
2026-07-06,12:42:41,3,1,2,0
2026-07-06,12:42:41,2,0,2,0
2026-07-06,12:42:42,1,0,1,0
2026-07-06,12:42:42,1,0,1,0
2026-07-06,12:42:42,1,0,1,0
2026-07-06,12:42:42,1,0,1,0
2026-07-06,12:42:42,1,0,1,0
2026-07-06,12:42:43,1,0,1,0
2026-07-06,12:42:43,2,1,1,0
2026-07-06,12:42:43,2,1,1,0
2026-07-06,12:42:43,2,1,1,0
2026-07-06,12:42:43,2,0,2,0
2026-07-06,12:42:43,2,0,2,0
2026-07-06,12:42:43,3,1,2,0
2026-07-06,12:42:44,2,1,1,0
2026-07-06,12:42:44,2,1,1,0
2026-07-06,12:42:44,2,0,2,0
2026-07-06,12:42:44,3,1,2,0
2026-07-06,12:42:44,2,0,2,0
2026-07-06,12:42:44,2,0,2,0
2026-07-06,12:42:44,2,0,2,0
2026-07-06,12:42:44,2,0,2,0
2026-07-06,12:42:45,3,1,2,0
2026-07-06,12:42:45,2,0,2,0
